基金代码,基金简称,基金类型
001281,长安鑫利优选混合A,混合型-灵活
001282,华安新机遇灵活配置混合A,混合型-灵活
001285,易方达新鑫混合I,混合型-灵活
001286,易方达新鑫混合E,混合型-灵活
001287,安信优势增长混合A,混合型-灵活
001289,银华汇利灵活配置混合A,混合型-灵活
001291,大摩量化多策略股票,股票型
001294,新华战略新兴产业灵活配置混合,混合型-灵活
001296,长城悦享增利债券A,债券型-混合二级
001297,平安智慧中国混合,混合型-灵活
001298,金鹰民族新兴混合A,混合型-灵活
001300,大成睿景灵活配置混合A,混合型-灵活
001301,大成睿景灵活配置混合C,混合型-灵活
001302,前海开源金银珠宝混合A,混合型-灵活
001303,银华稳利灵活配置混合A,混合型-灵活
001304,建信鑫安回报灵活配置混合A,混合型-灵活
001305,九泰天富改革混合A,混合型-灵活
001306,中欧永裕混合A,混合型-偏股
001307,中欧永裕混合C,混合型-偏股
001309,东方红睿逸定期开放混合,混合型-偏债
001312,华安新优选灵活配置混合A,混合型-灵活
001313,摩根智慧互联股票A,股票型
001314,易方达新益混合I,混合型-灵活
001315,易方达新益混合E,混合型-灵活
001316,安信稳健增值混合A,混合型-灵活
001318,东方新策略灵活配置混合A,混合型-灵活
001319,农银信息传媒股票A,股票型
001320,工银丰盈回报灵活配置混合A,混合型-灵活
001322,东吴新趋势价值线混合,混合型-灵活
001323,东吴移动互联混合A,混合型-灵活
001324,华宝新价值混合,混合型-灵活
001325,鹏华弘和混合A,混合型-灵活
001326,鹏华弘和混合C,混合型-灵活
001327,鹏华弘华混合A,混合型-灵活
001328,鹏华弘华混合C,混合型-灵活
001329,鹏华弘实混合A,混合型-灵活
001330,鹏华弘实混合C,混合型-灵活
001331,鹏华弘信混合A,混合型-灵活
001332,鹏华弘信混合C,混合型-灵活
001334,南方利鑫A,混合型-灵活
001335,南方利众A,混合型-灵活
001336,鹏华弘益混合A,混合型-灵活
001337,鹏华弘益混合C,混合型-灵活
001338,安信稳健增值混合C,混合型-灵活
001339,兴银鼎新灵活配置A,混合型-灵活
001342,易方达新享混合A,混合型-灵活
001343,易方达新享混合C,混合型-灵活
001344,易方达医药ETF联接A,指数型-股票
001345,富国新收益灵活配置混合A,混合型-灵活
001347,富国新收益灵活配置混合C,混合型-灵活
001349,富国改革动力混合,混合型-偏股
001351,诺安中证500指数增强A,指数型-股票
001352,民生加银新战略混合A,混合型-灵活
001355,广发聚泰混合A,混合型-偏债
001356,广发聚泰混合C,混合型-偏债
001357,泓德泓富混合A,混合型-灵活
001358,宝盈祥泰混合A,混合型-偏债
001361,景顺长城中证科技传媒通信150ETF联接A,指数型-股票
001362,景顺长城领先回报混合A,混合型-灵活
001363,长城久惠灵活配置混合A,混合型-灵活
001364,大成景润灵活配置混合A,混合型-灵活
001365,大成正向回报灵活配置混合A,混合型-灵活
001366,金鹰产业整合混合A,混合型-灵活
001367,德邦新添利债券A,债券型-混合二级
001370,中银新趋势灵活配置混合A,混合型-灵活
001371,富国沪港深价值混合A,混合型-灵活
001373,易方达新丝路灵活配置混合,混合型-灵活
001375,金元顺安优质精选混合C,混合型-灵活
001376,泓德泓富混合C,混合型-灵活
001379,景顺长城领先回报混合C,混合型-灵活
001380,鹏华弘盛混合C,混合型-灵活
001381,鹏华弘泽混合C,混合型-灵活
001382,易方达国企改革混合,混合型-偏股
001384,东方新思路混合A,混合型-灵活
001385,东方新思路混合C,混合型-灵活
001387,国联新经济混合A,混合型-灵活
001388,国联新经济混合C,混合型-灵活
001392,国富金融地产混合A,混合型-灵活
001393,国富金融地产混合C,混合型-灵活
001396,建信互联网+产业升级股票,股票型
001397,建信精工制造指数增强,指数型-股票
001398,华泰柏瑞健康生活混合,混合型-灵活
001399,安信鑫安得利混合A,混合型-灵活
001400,安信鑫安得利混合C,混合型-灵活
001402,中信保诚新选混合A,混合型-灵活
001403,招商国企改革主题混合基金,混合型-偏股
001404,招商移动互联网产业股票基金A,股票型
001405,东方红策略精选混合A,混合型-灵活
001406,东方红策略精选混合C,混合型-灵活
001407,景顺长城稳健回报混合C,混合型-灵活
001409,工银互联网加股票,股票型
001410,信澳新能源产业股票A,股票型
001411,诺安创新驱动混合A,混合型-灵活
001412,德邦鑫星价值灵活配置混合A,混合型-灵活
001413,国联鑫起点混合A,混合型-灵活
001414,国联鑫起点混合C,混合型-灵活
001415,中信保诚新锐混合A,混合型-灵活
001416,嘉实事件驱动股票,股票型
001417,汇添富医疗服务灵活配置混合A,混合型-灵活
001418,宏利创益混合A,混合型-灵活
001420,南方大数据300A,指数型-股票
001421,南方量化成长股票A,股票型
001422,景顺长城安享回报混合A,混合型-灵活
001423,景顺长城安享回报混合C,混合型-灵活
001426,南方大数据300C,指数型-股票
001427,招商丰泽混合A,混合型-灵活
001428,工银瑞信灵活配置混合B,混合型-灵活
001430,中邮乐享收益灵活配置混合A,混合型-灵活
001433,易方达瑞景混合,混合型-灵活
001437,易方达瑞享混合I,混合型-灵活
001438,易方达瑞享混合E,混合型-灵活
001441,易方达瑞信混合I,混合型-灵活
001442,易方达瑞信混合E,混合型-灵活
001443,易方达瑞选灵活配置混合I,混合型-灵活
001444,易方达瑞选灵活配置混合E,混合型-灵活
001445,华安国企改革主题灵活配置混合A,混合型-灵活
001446,招商丰泽混合C,混合型-灵活
001447,天弘惠利混合A,混合型-灵活
001448,华商双翼平衡混合A,混合型-偏债
001449,华商双驱优选混合,混合型-灵活
001453,鹏华弘鑫混合A,混合型-灵活
001454,鹏华弘鑫混合C,混合型-灵活
001455,景顺长城中证500ETF联接,指数型-股票
001457,华商新常态混合A,混合型-灵活
001463,光大一带一路混合A,混合型-偏股
001466,华富永鑫灵活配置混合A,混合型-灵活
001467,华富永鑫灵活配置混合C,混合型-灵活
001468,广发改革混合,混合型-灵活
001469,广发中证全指金融地产联接A,指数型-股票
001470,融通通鑫灵活配置混合,混合型-灵活
001471,融通新能源灵活配置混合A,混合型-灵活
001472,融通新能源灵活配置混合A(后端),混合型-灵活
001473,建信大安全战略精选股票,股票型
001474,兴银丰盈灵活配置A,混合型-灵活
001475,易方达国防军工混合A,混合型-偏股
001476,中银智能制造股票A,股票型
001479,中邮风格轮动灵活配置混合,混合型-灵活
001480,财通成长优选混合A,混合型-灵活
001481,华宝标普油气上游股票美元A,指数型-海外股票
001482,摩根新兴服务股票A,股票型
001484,天弘新价值混合A,混合型-灵活
001485,华安添颐混合A,混合型-偏债
001487,宝盈优势产业混合A,混合型-灵活
001488,万家瑞丰灵活配置混合A,混合型-灵活
001489,万家瑞丰灵活配置混合C,混合型-灵活
001490,汇添富国企创新股票A,股票型
001496,工银聚焦30股票,股票型
001500,泓德远见回报混合,混合型-灵活
001503,南方利鑫C,混合型-灵活
001504,南方利淘C,混合型-灵活
001505,南方利众C,混合型-灵活
001506,景顺长城泰和回报混合A,混合型-灵活
001507,景顺长城泰和回报混合C,混合型-灵活
001508,富国新动力灵活配置混合A,混合型-灵活
001510,富国新动力灵活配置混合C,混合型-灵活
001511,兴全新视野定开混合,混合型-灵活
001513,易方达信息产业混合A,混合型-偏股
001515,平安新鑫先锋C,混合型-灵活
001518,万家瑞兴灵活配置混合A,混合型-灵活
001521,国寿安保成长优选股票A,股票型
001522,博时新策略灵活配置混合A,混合型-灵活
001523,博时新策略灵活配置混合C,混合型-灵活
001528,诺安先进制造股票A,股票型
001530,万家瑞富灵活配置混合A,混合型-灵活
001531,招商安益灵活配置混合A,混合型-灵活
001532,华安文体健康混合A,混合型-灵活
001534,华宝万物互联混合A,混合型-灵活
001535,景顺长城改革机遇灵活配置A,混合型-灵活
001536,南方君选,混合型-灵活
001537,中加改革红利混合,混合型-灵活
001538,摩根科技前沿混合A,混合型-灵活
001539,嘉实中证金融地产ETF联接A,指数型-股票
001540,浙商汇金转型驱动,混合型-灵活
001541,汇添富民营新动力股票,股票型
001542,国泰互联网+股票,股票型
001543,宝盈新锐混合A,混合型-灵活
001547,兴业聚惠混合A,混合型-偏债
001548,天弘上证50ETF联接A,指数型-股票
001549,天弘上证50ETF联接C,指数型-股票
001550,天弘中证医药100A,指数型-股票
001551,天弘中证医药100C,指数型-股票
001552,天弘中证证券保险A,指数型-股票
001553,天弘中证证券保险C,指数型-股票
001556,天弘中证500指数增强A,指数型-股票
001557,天弘中证500指数增强C,指数型-股票
001558,天弘医疗健康混合A,混合型-偏股
001559,天弘医疗健康混合C,混合型-偏股
001562,易方达瑞和灵活配置混合,混合型-灵活
001563,华富健康文娱灵活配置混合A,混合型-灵活
001564,东方红京东大数据混合A,混合型-灵活
001566,南方利达A,混合型-灵活
001567,南方利达C,混合型-灵活
001569,泰信国策驱动灵活配置混合,混合型-灵活
001570,南方利安A,混合型-灵活
001571,嘉合磐石A,混合型-偏债
001572,嘉合磐石C,混合型-偏债
001574,中海混改红利混合A,混合型-灵活
001576,国泰智能装备股票A,股票型
001577,嘉实低价策略股票,股票型
001579,国泰大农业股票A,股票型
001580,南方利安C,混合型-灵活
001581,华安沪港深通精选灵活配置混合A,混合型-灵活
001583,安信新常态股票A,股票型
001584,国投瑞银新活力混合A,混合型-偏债
001585,国投瑞银新活力混合C,混合型-偏债
001588,天弘中证800指数A,指数型-股票
001589,天弘中证800指数C,指数型-股票
001592,天弘创业板ETF联接A,指数型-股票
001593,天弘创业板ETF联接C,指数型-股票
001594,天弘中证银行ETF联接A,指数型-股票
001595,天弘中证银行ETF联接C,指数型-股票
001596,中信保诚新泽混合A,混合型-灵活
001601,鑫元鑫新收益灵活配置混合A,混合型-灵活
001602,鑫元鑫新收益灵活配置混合C,混合型-灵活
001603,易方达安盈回报混合A,混合型-偏债
001604,浙商汇金转型升级A,混合型-灵活
001605,国富沪港深成长精选股票A,股票型
001606,农银工业4.0混合,混合型-灵活
001607,英大策略优选A,混合型-灵活
001608,英大策略优选C,混合型-灵活
001609,平安鑫享混合A,混合型-灵活
001610,平安鑫享混合C,混合型-灵活
001613,长城久祥混合A,混合型-灵活
001614,东方区域发展混合,混合型-灵活
001616,嘉实环保低碳股票,股票型
001617,天弘中证电子ETF联接A,指数型-股票
001618,天弘中证电子ETF联接C,指数型-股票
001623,兴业国企改革混合A,混合型-灵活
001626,国泰央企改革股票A,股票型
001628,招商体育文化休闲股票A,股票型
001629,天弘中证计算机ETF联接A,指数型-股票
001630,天弘中证计算机ETF联接C,指数型-股票
001631,天弘中证食品饮料ETF联接A,指数型-股票
001632,天弘中证食品饮料ETF联接C,指数型-股票
001633,万家瑞祥混合A,混合型-灵活
001634,万家瑞祥混合C,混合型-灵活
001635,万家瑞益灵活配置混合A,混合型-灵活
001636,万家瑞益灵活配置混合C,混合型-灵活
001637,嘉实量化精选股票,股票型
001638,前海开源优势蓝筹股票C,股票型
001641,富国绝对收益多策略混合A,混合型-绝对收益
001643,汇丰晋信智造先锋股票A,股票型
001644,汇丰晋信智造先锋股票C,股票型
001645,国泰大健康股票A,股票型
001648,工银新价值灵活配置混合A,混合型-灵活
001650,工银丰收回报灵活配置混合A,混合型-灵活
001651,工银新蓝筹股票A,股票型
001656,农银中国优势灵活配置混合,混合型-灵活
001657,长安鑫富领先混合A,混合型-灵活
