code,entry_date,entry_px,exit_date,exit_px,ret,hold,regime,ex_b,ex_m
sz002036,2022-02-16,18.74718,2022-03-01,18.72,-0.007191481598832539,9,bear,-0.026525992784956598,0.0014557882938930344
sz002870,2022-02-16,32.74722,2022-03-04,31.94,-0.030258293681112436,12,bear,-0.0402793768734957,-0.006517056719286374
sz002349,2022-02-16,13.275899999999998,2022-02-24,14.06,0.05297230319601698,6,bear,0.05262460548848935,0.07296948843325268
sz000887,2022-02-16,18.505799999999997,2022-02-28,19.18,0.030472338402014687,8,bear,0.019662896735722635,0.04526371117780059
sz002177,2022-02-18,5.933925,2022-03-01,5.51,-0.07678012445388183,7,bear,-0.09103812140098066,-0.06880837628664382
sh603899,2022-03-10,47.39093999999999,2022-04-28,43.09,-0.0959826392977221,33,bear,0.1016328205702115,0.1604815215312142
sh605555,2022-03-18,10.520145,2022-04-07,10.21,-0.03506154145213769,12,bear,-0.018602209962352623,0.004684051938536604
sz002637,2022-03-21,18.2744775,2022-03-29,18.45,0.003799561437529464,6,bear,0.03176601024484771,0.0438534825248692
sh603239,2022-03-24,11.666699999999999,2022-04-07,11.41,-0.02762627821063357,8,bear,-0.008000524537440046,0.0024939386018356657
sz002935,2022-04-11,14.734237499999999,2022-05-19,12.48,-0.15786344559737142,25,bear,-0.11913415662693538,-0.060722152866326096
sh603997,2022-04-18,7.643699999999999,2022-05-18,8.2,0.0666104111882988,19,bear,0.10916952350332254,0.15623861637478353
sh603197,2022-04-18,34.07481,2022-05-18,35.29,0.029707355668307622,19,bear,0.07226646798333136,0.11933556085479236
sh603348,2022-04-18,30.192614999999996,2022-04-29,35.31,0.16276670636180435,9,bear,0.2674083783517688,0.28651103238742226
sz000815,2022-04-18,12.290265,2022-05-18,11.96,-0.03246756680999141,19,bear,0.010091545505032329,0.05716063837649332
sh603305,2022-04-18,13.336244999999998,2022-05-09,13.5,0.006458339660076806,12,bear,0.08967946224648049,0.1170017396201416
sz002132,2022-04-20,4.566104999999999,2022-05-16,5.12,0.11485828731489978,15,bear,0.15732648894191836,0.199150459267187
sz002549,2022-04-20,14.593432499999999,2022-05-11,14.55,-0.008709054569581154,12,bear,0.04955604259440738,0.08468232113719742
sh603209,2022-04-26,14.3520525,2022-05-13,16.01,0.10910564882618723,10,bear,-0.012406006641258793,0.017022455989040175
sz002980,2022-04-27,16.172459999999997,2022-05-24,16.73,0.028526427024707646,16,bear,-0.05854075783438217,-0.00925079463843681
sz000789,2022-04-28,9.494279999999998,2022-05-24,9.49,-0.006198205656458344,15,bear,-0.11175023853965771,-0.06497538619965149
sh603843,2022-04-28,4.4755875,2022-05-17,4.95,0.09964054998366145,10,bear,-0.008799111254262026,0.021243782438311598
sz002756,2022-04-28,62.19558,2022-05-17,67.91,0.08559993330715776,10,bear,-0.02283972793076572,0.007203165761807906
sh603289,2022-04-28,7.331917499999999,2022-05-17,8.1,0.09840638550556524,10,bear,-0.010033275732358238,0.020009617960215387
sz002738,2022-04-28,35.482859999999995,2022-05-05,39.34,0.10232926545379972,2,bear,0.039633792473516394,0.04509379826122317
sz000023,2022-04-28,9.715544999999999,2022-05-17,11.5,0.17686398447024865,10,bear,0.06842432323232517,0.09846721692489879
sh600993,2022-04-28,17.6509125,2022-05-17,19.19,0.08094454040265608,10,bear,-0.027495120835267395,0.0025477728573062297
sh600211,2022-04-28,21.6135675,2022-05-17,24.92,0.1463498564038539,10,bear,0.037910195165930416,0.06795308885850404
sz002596,2022-04-28,3.5201249999999997,2022-05-17,4.09,0.1552096871559958,10,bear,0.04677002591807233,0.07681291961064596
sh603022,2022-04-29,7.311802499999999,2022-05-19,7.88,0.07151280412729966,11,bear,-0.005927296581587971,0.029144331684412883
sh603396,2022-04-29,45.67110749999999,2022-05-18,52.35,0.13964802583340052,10,bear,0.07030979807276605,0.10071404588620703
sz002125,2022-04-29,10.2687075,2022-05-18,10.94,0.05924674551300635,10,bear,-0.010091482247628125,0.02031276556581285
sh603496,2022-04-29,7.1106525,2022-05-19,7.4,0.034708136841169024,11,bear,-0.0427319638677186,-0.007660335601717749
sh603607,2022-04-29,10.3893975,2022-05-19,11.0,0.05268375764812161,11,bear,-0.024756343060766017,0.010315285205234836
sh603963,2022-05-10,13.426762499999999,2022-05-16,16.23,0.2018293687700221,4,bear,0.18133200316470388,0.19298992272238813
sh603208,2022-05-11,27.67824,2022-05-24,26.31,-0.05489953479701026,9,bear,-0.06770222674439896,-0.043704420381398656
sz002960,2022-05-11,12.199747499999999,2022-05-17,13.13,0.07006333532722708,4,bear,0.05461527013279088,0.06293547883131256
sh600356,2022-05-16,6.1652474999999995,2022-05-19,6.07,-0.021110263618775993,3,bear,-0.03473797110990018,-0.026089694583099177
sh603319,2022-05-18,8.7600825,2022-05-20,8.78,-0.0034894077766961518,2,bear,-0.02327383470433675,-0.01599983313115827
sh603217,2022-09-05,31.198364999999995,2022-11-14,27.01,-0.13922756849597706,44,bear,-0.13616711775910195,-0.05069094671178698
sz002338,2022-09-05,21.2313825,2022-09-09,22.55,0.05599988601778527,4,bear,0.04897087857321125,0.05888172577051054
sz002438,2022-09-09,13.03452,2022-10-26,10.94,-0.16551625990063323,27,bear,-0.11824529120314076,-0.0692722494412461
sz002648,2022-09-21,13.044577499999999,2022-10-12,13.46,0.025913257826863267,10,bear,0.07245492745168991,0.08672826337485173
sh603612,2022-10-12,27.8693325,2022-10-19,29.87,0.06562464314493366,5,bear,0.020051767418335364,0.03916421693678207
sz002206,2022-10-13,5.02875,2022-10-28,4.94,-0.023297042008451285,11,bear,-0.021117441907499535,0.005297328648275812
sz002387,2022-10-13,5.702602499999999,2022-10-27,6.08,0.06004933712283145,10,bear,0.025242375474489487,0.049954495010311684
sh603068,2022-10-13,26.10927,2022-10-28,27.22,0.03654698120629174,11,bear,0.03872658130724349,0.06514135186301884
sh600353,2022-10-13,7.492837499999999,2022-10-26,9.11,0.20883677245102406,9,bear,0.17116648723609806,0.19770353105122318
sh603005,2022-10-13,18.606375,2022-10-21,20.0,0.06871972643784718,6,bear,0.03529411079316236,0.053928019913919156
sh603936,2022-10-13,11.646585,2022-10-28,12.04,0.02783519804303136,11,bear,0.030014798143983112,0.05642956869975846
sz002463,2022-10-13,9.715544999999999,2022-10-24,10.26,0.04996734614476095,7,bear,0.030150654841243796,0.05158067554705892
sh603916,2022-10-13,15.991425,2022-11-14,16.04,-0.0027299005560793566,22,bear,-0.08097334362155462,-0.025433530535440174
sh603097,2022-10-13,13.849177499999998,2022-10-26,14.3,0.02661511847905773,9,bear,-0.01105516673586826,0.015481877079256856
sh603603,2022-10-18,5.149439999999999,2022-11-10,5.61,0.08317457820656249,17,bear,0.05343900401817514,0.08885558783524394
sz002554,2022-10-20,3.8419649999999996,2022-11-14,3.82,-0.01143425304499135,17,bear,-0.055869686894097104,-0.018689077040144886
sh603008,2022-11-02,21.623624999999997,2022-11-14,27.2,0.25065061940354605,8,bear,0.2226298966171567,0.24181952785701388
sz002336,2022-11-02,6.678179999999999,2022-11-14,7.68,0.14340134587567266,8,bear,0.11538062308928332,0.1345702543291405
sz002824,2022-11-02,21.000059999999998,2022-11-07,23.1,0.09367187522321374,3,bear,0.06467798554719661,0.07391817319051142
sh605138,2022-11-25,10.58049,2022-11-30,10.75,0.010178876403644788,3,bear,-0.0034058033332193816,0.004153544596904757
sh603917,2023-03-22,25.797487499999995,2023-05-19,20.49,-0.21030361968389355,38,bear,-0.1785321221346643,-0.12331732169343368
sz002881,2023-03-24,32.7371625,2023-03-28,34.24,0.03989220201964683,2,bear,0.048347626690027456,0.05310567030529767
sz002402,2023-04-28,15.5589525,2023-05-19,15.1,-0.03507803626240269,12,bear,-0.03914266310549375,-0.02243503510365985
sz002463,2023-05-19,18.968445,2023-06-02,20.24,0.06089982600049715,10,bear,0.05259272926723946,0.07123149467520107
sh603168,2023-05-23,8.60922,2023-05-30,8.55,-0.01258911957180786,5,bear,-0.01598137274335054,-0.00588176873095414
sz000756,2023-05-23,22.760122499999998,2023-05-29,23.1,0.00909716105438374,4,bear,0.009875506734904449,0.0182570863376057
sz002466,2023-06-05,70.744455,2023-06-16,69.94,-0.017055895052128234,9,bear,-0.02491481912715976,-0.0021205330622587892
sh600386,2023-06-06,4.4051849999999995,2023-06-12,4.36,-0.015948251889534637,4,bear,-0.0278200196850118,-0.0189446903158923
